"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","12/24/2013","00:43:38","","invalid call of the function RestInitApplication, first Argument (dirPath) is invalid, argument value [/var/www/api] must contain a existing directory"
"ERROR","web-0","12/24/2013","00:45:12","","invalid call of the function RestInitApplication, first Argument (dirPath) is invalid, argument value [/var/www/api] must contain a existing directory"
"ERROR","web-0","12/24/2013","00:46:07","","invalid call of the function RestInitApplication, first Argument (dirPath) is invalid, argument value [/var/www/api] must contain a existing directory"
"ERROR","web-0","12/24/2013","00:46:57","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","00:47:57","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","00:49:50","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","00:52:04","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","00:52:36","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","00:52:37","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:33:11","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:33:44","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:37:16","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:38:45","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:38:47","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:40:18","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:40:19","","can't access, no password is defined"
"ERROR","web-0","12/24/2013","08:40:20","","can't access, no password is defined"
"ERROR","web-0","12/25/2013","10:48:15","","invalid component definition, can't find services.arch.Security"
"ERROR","web-0","12/25/2013","10:50:03","","Page /services/arch/Security.cfc [/var/www/services/arch/Security.cfc] not found"
"ERROR","web-0","12/25/2013","10:51:15","","invalid component definition, can't find arch.site.Phrase"
"ERROR","web-0","12/25/2013","16:36:01","","Invalid Syntax Closing []] not found"
"ERROR","web-0","12/25/2013","16:38:05","","Invalid Syntax Closing []] not found"
"ERROR","web-0","12/25/2013","16:41:28","","Syntax Error, Invalid Construct"
"ERROR","web-0","12/25/2013","20:16:06","","a try statement must have at least one catch statement"
"ERROR","web-0","12/25/2013","20:21:39","","a try statement must have at least one catch statement"
"ERROR","web-0","12/25/2013","20:47:48","","Page /newuser.cfm [/var/www/newuser.cfm] not found"
"ERROR","web-0","12/25/2013","20:52:06","","The required parameter [form.username] was not provided."
"ERROR","web-0","12/25/2013","20:53:46","","key [ADDR2] doesn't exist (existing keys:lname,phone2,country,zip,fname,state,addr1,city,phone,username,email)"
"ERROR","web-0","12/25/2013","21:06:18","","you can't use the same attribute [restargsource] twice"
"ERROR","web-0","12/25/2013","21:08:24","","Missing [;] or [line feed] after expression"
"ERROR","web-0","12/26/2013","13:20:50","","if statement must end with a [)]"
"ERROR","web-0","12/26/2013","13:22:35","","if statement must end with a [)]"
"ERROR","web-0","12/26/2013","13:23:44","","if statement must end with a [)]"
"ERROR","web-0","12/26/2013","13:32:50","","undefined tag [cfhttparam]"
"ERROR","web-0","12/27/2013","12:30:58","","Missing [;] or [line feed] after expression"
